"No","Id","Subid","Word","Root","Lemma","Verb","Transcript","Affixes","Pos","Gloss","Tvariety","Tagset","Status"
"1","01","00001","ንግር","ን⁞ግ⁞ር","","እናገራለሁ","Inageralehu","[እ+ለሁ]","VINA•01T1SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"2","01","00002","ንግር","ን⁞ግ⁞ር","","እናገራለሁ","Inageralehu","[እ+ለሁ]","VINA•01T1SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"3","01","00003","ንግር","ን⁞ግ⁞ር","","እንናገራለን","Innageralen","[እን+ለን]","VINA•01T1PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"4","01","00004","ንግር","ን⁞ግ⁞ር","","እንናገራለን","Innageralen","[እን+ለን]","VINA•01T1PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"5","01","00005","ንግር","ን⁞ግ⁞ር","","ትናገራለሽ","tnageralex","[ት+ለሽ]","VINA•01T2SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"6","01","00006","ንግር","ን⁞ግ⁞ር","","ትናገራለህ","tnageraleh","[ት+ለህ]","VINA•01T2SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"7","01","00007","ንግር","ን⁞ግ⁞ር","","ትናገራችሁ","tnagerachu","[ት+ችሁ]","VINA•01T2PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"8","01","00008","ንግር","ን⁞ግ⁞ር","","ትናገራችሁ","tnagerachu","[ት+ችሁ]","VINA•01T2PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"9","01","00009","ንግር","ን⁞ግ⁞ር","","ትናገራለች","tnageralec","[ት+ለች]","VINA•01T3SF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"10","01","00010","ንግር","ን⁞ግ⁞ር","","ይናገራሉ","ynageralu","[ይ+ሉ]","VINA•01T3SM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"11","01","00011","ንግር","ን⁞ግ⁞ር","","ይናገራሉ","ynageralu","[ይ+ሉ]","VINA•01T3PF•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""
"12","01","00012","ንግር","ን⁞ግ⁞ር","","ይናገራሉ","ynageralu","[ይ+ሉ]","VINA•01T3PM•••","Verb-Imperfect-Indicative-Active","Addis Amharic","KTagset",""

